,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
0,9,1729339214-90894-best_individual,4.0,-105.19999999999916,13.100000000000104,26.25,241.375,9,1729339214-90894-best_individual,4.0,-105.19999999999916,13.100000000000104,26.25,241.375
1,8,1729339216-90891-best_individual,2.0,-171.9999999999993,17.25000000000009,38.75,539.5,8,1729339216-90891-best_individual,2.0,-171.9999999999993,17.25000000000009,38.75,539.5
2,5,1729339252-90895-best_individual,2.0,-185.39999999999966,16.825000000000042,40.0,290.25,5,1729339252-90895-best_individual,2.0,-185.39999999999966,16.825000000000042,40.0,290.25
3,2,1729339302-90887-best_individual,2.0,-215.99999999999963,16.750000000000043,43.75,280.5,6,1729339292-90889-best_individual,2.0,-205.19999999999953,14.350000000000055,40.0,507.0
4,6,1729339292-90889-best_individual,2.0,-205.19999999999953,14.350000000000055,40.0,507.0,2,1729339302-90887-best_individual,2.0,-215.99999999999963,16.750000000000043,43.75,280.5
5,1,1729339239-90886-best_individual,2.0,-356.39999999999947,6.700000000000067,51.25,472.375,7,1729339299-90890-best_individual,1.0,-327.99999999999983,10.250000000000021,51.25,449.0
6,3,1729339194-90893-best_individual,1.0,-397.7999999999999,11.52500000000001,61.25,377.125,4,1729339233-90892-best_individual,1.0,-342.0,6.0,48.75,293.125
7,7,1729339299-90890-best_individual,1.0,-327.99999999999983,10.250000000000021,51.25,449.0,1,1729339239-90886-best_individual,2.0,-356.39999999999947,6.700000000000067,51.25,472.375
8,4,1729339233-90892-best_individual,1.0,-342.0,6.0,48.75,293.125,3,1729339194-90893-best_individual,1.0,-397.7999999999999,11.52500000000001,61.25,377.125
9,0,1729339232-90888-best_individual,0.0,-510.0,0.0,63.75,435.125,0,1729339232-90888-best_individual,0.0,-510.0,0.0,63.75,435.125
