,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
0,19,1729000707-91957-best_individual,4.0,-90.19999999999919,17.4750000000001,28.75,246.0,11,1729002190-94390-best_individual,3.0,-5.399999999999402,19.325000000000074,20.0,306.0
1,36,1729002228-94392-best_individual,4.0,-110.19999999999928,17.47500000000009,31.25,269.5,32,1729000705-91955-best_individual,3.0,-14.199999999999415,19.475000000000072,21.25,303.375
2,31,1729000560-91952-best_individual,4.0,-101.5999999999992,17.3000000000001,30.0,242.0,30,1729002169-94397-best_individual,3.0,-14.79999999999941,19.400000000000073,21.25,298.25
3,25,1729003558-95084-best_individual,4.0,-85.19999999999924,16.850000000000097,27.5,277.875,4,1729003530-95089-best_individual,3.0,-41.199999999999406,21.100000000000072,26.25,267.875
4,28,1729003560-95082-best_individual,4.0,-120.7999999999992,14.9000000000001,30.0,252.875,18,1729003565-95086-best_individual,3.0,-71.3999999999994,19.825000000000074,28.75,274.0
5,7,1729000706-91958-best_individual,4.0,-153.3999999999992,12.075000000000099,31.25,246.375,2,1729004213-97270-best_individual,3.0,-78.19999999999908,18.975000000000115,28.75,417.0
6,4,1729003530-95089-best_individual,3.0,-41.199999999999406,21.100000000000072,26.25,267.875,25,1729003558-95084-best_individual,4.0,-85.19999999999924,16.850000000000097,27.5,277.875
7,18,1729003565-95086-best_individual,3.0,-71.3999999999994,19.825000000000074,28.75,274.0,19,1729000707-91957-best_individual,4.0,-90.19999999999919,17.4750000000001,28.75,246.0
8,39,1729002175-94395-best_individual,3.0,-101.59999999999943,19.80000000000007,32.5,260.125,6,1729003546-95085-best_individual,3.0,-90.19999999999943,17.475000000000072,28.75,321.75
9,32,1729000705-91955-best_individual,3.0,-14.199999999999415,19.475000000000072,21.25,303.375,8,1729003556-95087-best_individual,3.0,-97.39999999999942,19.075000000000074,31.25,260.0
10,30,1729002169-94397-best_individual,3.0,-14.79999999999941,19.400000000000073,21.25,298.25,31,1729000560-91952-best_individual,4.0,-101.5999999999992,17.3000000000001,30.0,242.0
11,11,1729002190-94390-best_individual,3.0,-5.399999999999402,19.325000000000074,20.0,306.0,39,1729002175-94395-best_individual,3.0,-101.59999999999943,19.80000000000007,32.5,260.125
12,8,1729003556-95087-best_individual,3.0,-97.39999999999942,19.075000000000074,31.25,260.0,3,1729000400-91956-best_individual,3.0,-106.99999999999946,15.375000000000068,28.75,317.25
